id,name,handling,parent_id,slug,is_active,description,handling_message,category_level_name1,category_level_name2,category_level_name3,category_level_name4,city_id,country_id,filter_label
297,Afval,REST,,laadkist-restafval-niet-opgehaald,t,,,Afval,Inzameling huisvuil,Laadkist Restafval,Niet opgehaald,1,1,Laadkist Restafval-Niet opgehaald
298,Afval,REST,,laadkist-restafval-verzoek-tot-extra-lediging,t,,,Afval,Inzameling huisvuil,Laadkist Restafval,Verzoek tot extra lediging,1,1,Laadkist Restafval-Verzoek tot extra lediging
299,Afval,REST,,laadkist-restafval-vol,t,,,Afval,Inzameling huisvuil,Laadkist Restafval,Vol,1,1,Laadkist Restafval-Vol
300,Afval,REST,,minicontainer-brood-niet-geleegd,t,,,Afval,Inzameling huisvuil,Minicontainer Brood,Niet geleegd,1,1,Minicontainer Brood-Niet geleegd
301,Afval,REST,,minicontainer-brood-verzoek-tot-extra-lediging,t,,,Afval,Inzameling huisvuil,Minicontainer Brood,Verzoek tot extra lediging,1,1,Minicontainer Brood-Verzoek tot extra lediging
302,Afval,REST,,minicontainer-gft-locatie-vervuild-achtergelaten,t,,,Afval,Inzameling huisvuil,Minicontainer GFT,Locatie vervuild achtergelaten,1,1,Minicontainer GFT-Locatie vervuild achtergelaten
303,Afval,REST,,minicontainer-papier-locatie-vervuild-achtergelaten,t,,,Afval,Inzameling huisvuil,Minicontainer papier,Locatie vervuild achtergelaten,1,1,Minicontainer papier-Locatie vervuild achtergelaten
304,Afval,REST,,minicontainer-plastic-locatie-vervuild-achtergelaten,t,,,Afval,Inzameling huisvuil,Minicontainer plastic,Locatie vervuild achtergelaten,1,1,Minicontainer plastic-Locatie vervuild achtergelaten
305,Afval,REST,,minicontainer-restafval-locatie-vervuild-achtergelaten,t,,,Afval,Inzameling huisvuil,Minicontainer restafval,Locatie vervuild achtergelaten,1,1,Minicontainer restafval-Locatie vervuild achtergelaten
306,Afval,REST,,grofvuil-locatie-vervuild-achtergelaten,t,,,Afval,Overig,Grofvuil,Locatie vervuild achtergelaten,1,1,Grofvuil-Locatie vervuild achtergelaten
307,Afval,REST,,restafval-locatie-vervuild-achtergelaten,t,,,Afval,Overig,Restafval,Locatie vervuild achtergelaten,1,1,Restafval-Locatie vervuild achtergelaten
308,Afval,REST,,snoeiafval-locatie-vervuild-achtergelaten,t,,,Afval,Overig,Snoeiafval,Locatie vervuild achtergelaten,1,1,Snoeiafval-Locatie vervuild achtergelaten
309,Afval,REST,,afval-snoeiafval,t,,,Afval,Snoeiafval,,,1,1,Afval-Snoeiafval
310,Afval,REST,,afgedankte-electronische-en-electrische-apparaten-vol,t,,,Afval,Afvalbakken,Afgedankte electronische en electrische apparaten,Vol,1,1,Afgedankte electronische en electrische apparaten-Vol
312,Afval,REST,,gft-inzamelmiddel-niet-juist-teruggezet,t,,,Afval,Afvalbakken,GFT,Inzamelmiddel niet juist teruggezet,1,1,GFT-Inzamelmiddel niet juist teruggezet
313,Afval,REST,,gft-locatie-vervuild-achtergelaten,t,,,Afval,Afvalbakken,GFT,Locatie vervuild achtergelaten,1,1,GFT-Locatie vervuild achtergelaten
314,Afval,REST,,gft-stinkende-container,t,,,Afval,Afvalbakken,GFT,Stinkende container,1,1,GFT-Stinkende container
315,Afval,REST,,gft-verzoek-tot-extra-lediging,t,,,Afval,Afvalbakken,GFT,Verzoek tot extra lediging,1,1,GFT-Verzoek tot extra lediging
316,Afval,REST,,gft-vies-vervuild,t,,,Afval,Afvalbakken,GFT,Vies-vervuild,1,1,GFT-Vies-vervuild
317,Afval,REST,,glas-brandschade,t,,,Afval,Afvalbakken,Glas,Brandschade,1,1,Glas-Brandschade
318,Afval,REST,,glas-inzamelmiddel-niet-juist-teruggezet,t,,,Afval,Afvalbakken,Glas,Inzamelmiddel niet juist teruggezet,1,1,Glas-Inzamelmiddel niet juist teruggezet
319,Afval,REST,,glas-stinkende-container,t,,,Afval,Afvalbakken,Glas,Stinkende container,1,1,Glas-Stinkende container
320,Afval,REST,,glas-verzoek-tot-extra-lediging,t,,,Afval,Afvalbakken,Glas,Verzoek tot extra lediging,1,1,Glas-Verzoek tot extra lediging
321,Afval,REST,,glas-vies-vervuild,t,,,Afval,Afvalbakken,Glas,Vies-vervuild,1,1,Glas-Vies-vervuild
322,Afval,REST,,papier-brandschade,t,,,Afval,Afvalbakken,Papier,Brandschade,1,1,Papier-Brandschade
323,Afval,REST,,papier-inzamelmiddel-niet-juist-teruggezet,t,,,Afval,Afvalbakken,Papier,Inzamelmiddel niet juist teruggezet,1,1,Papier-Inzamelmiddel niet juist teruggezet
324,Afval,REST,,papier-locatie-vervuild-achtergelaten,t,,,Afval,Afvalbakken,Papier,Locatie vervuild achtergelaten,1,1,Papier-Locatie vervuild achtergelaten
325,Afval,REST,,papier-stinkende-container,t,,,Afval,Afvalbakken,Papier,Stinkende container,1,1,Papier-Stinkende container
326,Afval,REST,,papier-verzoek-tot-extra-lediging,t,,,Afval,Afvalbakken,Papier,Verzoek tot extra lediging,1,1,Papier-Verzoek tot extra lediging
327,Afval,REST,,papier-vies-vervuild,t,,,Afval,Afvalbakken,Papier,Vies-vervuild,1,1,Papier-Vies-vervuild
328,Afval,REST,,plastic-brandschade,t,,,Afval,Afvalbakken,Plastic,Brandschade,1,1,Plastic-Brandschade
329,Afval,REST,,plastic-inzamelmiddel-niet-juist-teruggezet,t,,,Afval,Afvalbakken,Plastic,Inzamelmiddel niet juist teruggezet,1,1,Plastic-Inzamelmiddel niet juist teruggezet
330,Afval,REST,,plastic-stinkende-container,t,,,Afval,Afvalbakken,Plastic,Stinkende container,1,1,Plastic-Stinkende container
331,Afval,REST,,plastic-verzoek-tot-extra-lediging,t,,,Afval,Afvalbakken,Plastic,Verzoek tot extra lediging,1,1,Plastic-Verzoek tot extra lediging
332,Afval,REST,,plastic-vies-vervuild,t,,,Afval,Afvalbakken,Plastic,Vies-vervuild,1,1,Plastic-Vies-vervuild
333,Afval,REST,,restafval-brandschade,t,,,Afval,Afvalbakken,Restafval,Brandschade,1,1,Restafval-Brandschade
334,Afval,REST,,restafval-inzamelmiddel-niet-juist-teruggezet,t,,,Afval,Afvalbakken,Restafval,Inzamelmiddel niet juist teruggezet,1,1,Restafval-Inzamelmiddel niet juist teruggezet
335,Afval,REST,,restafval-stinkende-container,t,,,Afval,Afvalbakken,Restafval,Stinkende container,1,1,Restafval-Stinkende container
336,Afval,REST,,restafval-verzoek-tot-extra-lediging,t,,,Afval,Afvalbakken,Restafval,Verzoek tot extra lediging,1,1,Restafval-Verzoek tot extra lediging
337,Afval,REST,,restafval-vies-vervuild,t,,,Afval,Afvalbakken,Restafval,Vies-vervuild,1,1,Restafval-Vies-vervuild
338,Afval,REST,,textiel-brandschade,t,,,Afval,Afvalbakken,Textiel,Brandschade,1,1,Textiel-Brandschade
339,Afval,REST,,textiel-inzamelmiddel-niet-juist-teruggezet,t,,,Afval,Afvalbakken,Textiel,Inzamelmiddel niet juist teruggezet,1,1,Textiel-Inzamelmiddel niet juist teruggezet
340,Afval,REST,,textiel-stinkende-container,t,,,Afval,Afvalbakken,Textiel,Stinkende container,1,1,Textiel-Stinkende container
341,Afval,REST,,textiel-verzoek-tot-extra-lediging,t,,,Afval,Afvalbakken,Textiel,Verzoek tot extra lediging,1,1,Textiel-Verzoek tot extra lediging
342,Afval,REST,,textiel-vies-vervuild,t,,,Afval,Afvalbakken,Textiel,Vies-vervuild,1,1,Textiel-Vies-vervuild
